id,hersteller,slug,produkte,herstelleranschrift,eu_verantwortlicher
11613,Athena Nutrients,athena-nutrients,33,"Athena Nutrients, 1300 Marsh Landing Parkway 78, Jacksonville Beach, FL 32250, USA, E-Mail: info@athenaag.com, Web: https://athenaag.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, info@growin.de"
13017,AutoPot Benelux,autopot-benelux,69,"AutoPot Benelux, Kuilenstraat 60-4, 6231 AW Meerssen, Niederlande, E-Mail: laurence@autopot.co.uk, Web: https://autopot.co.uk","Lumen Max GmbH, Max-Eyth-Straße 47, 46149 Oberhausen, Deutschland, E-Mail: lumenmax@lumenmax.de, Web: https://lumenmax.de"
8701,B.Braun,b-braun,2,"B. Braun, Carl-Braun-Straße 1, 34212 Melsungen, Deutschland, E-Mail: info@bbraun.com, Web: https://www.bbraun.de",
3349,Barneys Farm,barneys-farm,121,"Barney's Souvenirs BV, Haarlemmerstraat 98, 1013 EW Amsterdam, NL, customersupport@barneysfarm.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16325,BIO NOVA,bio-nova,1,"BIO NOVA, Elzenweg 13, 5144 MB Waalwijk, Niederlande, Web: https://www.bionovanutrients.com",
3937,BIObay e.K.,biobay-e-k,1,"BIObay e.K., Hofmarkstraße 11, 92543 Guteneck, Deutschland, info@biobay.de",
5311,"BIOBIZZ WORLDWIDE, S.L.",biobizz-worldwide-s-l,25,"BIOBIZZ WORLDWIDE, S.L., Polígono Industrial Lezama-Leguizamón, C/ Gorbeia nº 11, 48450 Etxebarri, Bizkaia, Spanien, info@biobizz.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16499,Biodor,biodor,0,"Biodor, Juan de la cierva 10 - B, 08339 Vilassar de Dalt, Katalonien, Spanien, E-Mail: info@biopulcher.com, Homepage: https://biopulcher.com",
6850,Biohorti SLU,biohorti-slu,24,"Biohorti SL, Calle Sud 1, 08329 Teià (Barcelona), Spanien, CIF B66654112, Telefon: +34 936385174, E-Mail: info@biotabs.nl, Web: https://biotabs.nl",
16501,Birchmeier Sprühtechnik AG,birchmeier-spruehtechnik-ag,1,"Birchmeier Sprühtechnik AG, Im Stetterfeld 1, 5608 Stetten, Schweiz, E-Mail: info@birchmeier.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Deutschland, E-Mail: mail@bloomtech.de, Web: https://www.bloomtech.de"
1880,BLAUBERG VENTILATOREN GMBH,blauberg-ventilatoren-gmbh,0,"Blauberg Ventilatoren GmbH, Stäblistraße 6, 81477 München, Deutschland, info@blaubergventilatoren.de",
11761,BloomStar,bloomstar,22,"Crescience UG (haftungsbeschränkt) (BloomStar), Niederhofener Straße 8, 86972 Altenstadt, Deutschland, HRB 228381 (Amtsgericht München), Telefon: +4915678652550, E-Mail: info@cre.science, Web: https://www.bloomstar.de",
16327,Bloomtech GmbH,bloomtech-gmbh,1,"Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Deutschland, Web: https://www.bloomtech.de",
16487,Bloomtech GmbH (Zubehör),bloomtech-gmbh-zubehoer,14,"Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Niedersachsen, Deutschland, E-Mail: mail@bloomtech.de, Homepage: https://www.bloomtech.de",
16497,Boveda Inc.,boveda-inc,2,"Boveda Inc., Yellow Circle Drive 10237, MN 55343 Minnetonka, Minnesota, Vereinigte Staaten, E-Mail: info@bovedainc.com, Homepage: https://bovedainc.com","Reinhart GmbH & Co.KG, Tempelhofer Str. 21, 52068 Aachen, Nordrhein-Westfalen, Deutschland, Homepage: https://www.reinh.art"
7684,Brothers Grimm Seeds,brothers-grimm-seeds,2,"Brothers Grimm Seeds, 14030 S Peoria Ave Ste 107, Bixby, OK 74008, USA, E-Mail: laura@brothersgrimmseeds.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16329,C-Résult,c-result,9,"C-Résult, Tolhuisweg 12, 6071 RG Swalmen, Niederlande, Web: https://c-result.com",
15939,CAN-Filters,can-filters,49,"CAN-Filters, Handelsweg 10, 4231 EZ Meerkerk, Niederlande, Web: https://canfilters.com",
13060,Canna-,canna,71,"CANNA International B.V., Beneluxweg 37, 4904 SJ Oosterhout, Niederlande, Telefon: +31162456714, E-Mail: info@canna.com",
12997,"CANNABIS Pharma, s.r.o.",cannabis-pharma-s-r-o,1,"CANNABIS Pharma, s.r.o., Masarykova třída 1595/54, 415 01 Teplice, Tschechien, IČO 25441353, E-Mail: info@cannaderm.cz",
15549,Cannatech International Ltd.,cannatech-international-ltd,0,"Cannatech International Ltd., Centris Business Gateway, CBD 3020 Birkirkara, Malta, E-Mail: info@cannatech-international.com",
16089,Carson,carson,11,"Carson Optical, Inc., 2070 5th Avenue, Ronkonkoma NY 11779, Vereinigte Staaten, Telefon: +1 631 963 5000, E-Mail: info@carson.com, Web: https://www.carson.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Deutschland, E-Mail: mail@bloomtech.de, Web: https://www.bloomtech.de"
16480,Chikamasa Co. Ltd.,chikamasa-co-ltd,6,"Chikamasa Co. Ltd., Chikkohamadera-Nishi 2, 592-8352 Sakai, Osaka, Japan, E-Mail: info@chikamasa.co.jp, Homepage: https://chikamasa.co.jp","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, Homepage: https://www.growin.de/"
8795,Compound Genetics,compound-genetics,22,"Compound Genetics, Petaluma, Kalifornien, Vereinigte Staaten, E-Mail: seeds@compound-genetics.com, Web: https://seeds.compound-genetics.com","Hemp Group Int. GmbH, Verschwisterungsring 93b, 21502 Geesthacht, Deutschland, Telefon: +49 89 30707996 (Mo–Fr 10:00–17:00 Uhr), E-Mail: b2b@hempgroup.de"
8599,Cookies Seeds,cookies-seeds,1,"Cookies Seeds, Mailbox 1, San Francisco, CA 94114, USA, E-Mail: support@seeds.cookies.co, Web: https://www.seeds.cookies.co","Dutch Garden EU, Strobelgasse 2/6, 1010 Wien, Österreich, Web: https://www.dgsupplies.eu"
16062,Dec Ducting,dec-ducting,9,"Dec Ducting, Tuchmacherweg 6, 39288 Burg, Sachsen-Anhalt, Deutschland, Web: https://decinternational.com",
16483,DiamondBox,diamondbox,8,"DiamondBox, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, E-Mail: info@growin.de, Homepage: https://www.diamondbox.de",
15917,Dimlux,dimlux,5,"Dimlux, Cruquiusweg 98G, 1019 AJ Amsterdam, Niederlande, Web: https://dimlux.nl",
12981,Doja,doja,7,"Doja, Los Angeles, CA, Vereinigte Staaten, E-Mail: orders@dojadirect.com","Hemp Group Int. GmbH, Verschwisterungsring 93b, 21502 Geesthacht, Deutschland, Telefon: +49 89 30707996 (Mo–Fr 10:00–17:00 Uhr), E-Mail: b2b@hempgroup.de"
11585,Doktorfreezy,doktorfreezy,0,"Daniel Prinz, Künstlername: Dokterfreezy, c/o SourceArt Tuttlingerstraße 45 78333 Stockach Deutschland, doktorfreezy@versteckmich.de, Telefon 015222026936",
6651,Drainmaster,drainmaster,0,"DrainMaster // kobosil.me Development, Griembergweg 13A, 12305 Berlin, Deutschland, info@drain-master.de",
6653,Drehandel GmbH,drehandel-gmbh,0,"Drehandel GmbH, Libauer Straße 17, 10245 Berlin, Deutschland, mail@drehandel.de",
6071,Dutch Passion,dutch-passion,109,"Zaadhandel Dutch Passion BV, Hoogoorddreef 109, 1101 BB Amsterdam, Niederlande, info@dutch-passion.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
13081,Easy Grow LTD,easy-grow-ltd,2,"Easy Grow Limited, 23 Chantry Lane, Grimsby, South Humberside DN31 2LP, Vereinigtes Königreich, Telefon: +441472346900, E-Mail: sales@easy-grow.co.uk","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16485,Easy Grow LTD (UK),easy-grow-ltd-uk,5,"Easy Grow LTD, King Edward St, Grimsby 4, DN31 3JU Grimsby, Vereinigtes Königreich, Homepage: https://www.easy-grow.co.uk","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Niedersachsen, Deutschland, E-Mail: mail@bloomtech.de, Homepage: https://www.bloomtech.de"
12863,Eazy Plug,eazy-plug,6,"HGA International BV, Tijvoortsebaan 2, 5051 HJ Goirle, Niederlande, E-Mail: info@hga-international.com",
12988,Enecta B.V.,enecta-b-v,1,"Enecta B.V., Professor J.H. Bavincklaan 7, 1183 AT Amstelveen, Niederlande, KvK 69114463, Telefon: +31624424363, E-Mail: info@enecta.com",
8593,Ethos Genetics,ethos-genetics,10,"Ethos Genetics, 1441 29th Street, Denver, CO 80205, USA, E-Mail: store@ethosgenetics.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
12985,Euphoria Trade s.r.o.,euphoria-trade-s-r-o,2,"EUPHORIA TRADE s.r.o., Klimentská 1216/46, Nové Město, 110 00 Praha 1, Tschechien, E-Mail: info@euphoria.trade, Web: https://www.euphoria.eu",
6660,Fast Buds,fast-buds,5,"Fast Buds, Carrer del Rosselló 212, 08008 Barcelona, Spanien, Telefon: +34936256676, Web: https://2fast4buds.com",
7724,Fega Grow Seeds SL,fega-grow-seeds-sl,1,"Fega Grow Seeds S.L., Calle de la Princesa 31, planta 6 puerta 12, 28008 Madrid, Spanien, CIF B85670008, Telefon: +34917553017, E-Mail: order@exoticseed.eu",
16482,Ferna Trade,ferna-trade,3,"Ferna Trade, Industriestrasse 3, 41334 Nettetal, Nordrhein-Westfalen, Deutschland, E-Mail: info@fernatrade.com, Homepage: https://www.fernatrade.com",
16513,ferrero,ferrero,0,"Ferrero Deutschland GmbH, Hainer Weg 120, 60599 Frankfurt am Main, Deutschland, Telefon: +49 69 6805-0, E-Mail: consumerservice@ferrero.com, Web: https://www.ferrero.de",
5194,Fiftys GmbH,fiftys-gmbh,15,"Fiftys GmbH, Mittelwendung 14 A, 28844 Weyhe, Deutschland, info@b2b-headshop.de",
7709,G13 Labs,g13-labs,1,"G13 Labs, Unit 14 Quadrangle Centre, Nacton Road, Ipswich IP3 9QR, Vereinigtes Königreich, E-Mail: info@g13labs.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
6656,garden-highpro,garden-highpro,7,"GHP Garden Highpro, Calle General Perón 22, 28020 Madrid, Spanien, Telefon: +34 917274411, E-Mail: lopd@gardenhighpro.com",
8699,GIB,gib,3,"GIB, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, E-Mail: info@growin.de, Web: https://growin.de",
16479,GIB - Growin,gib-growin,2,"GIB - Growin, Wallenroder Str. 7-9, 13435 Berlin, Berlin, Deutschland, E-Mail: info@growin.de, Homepage: https://growin.de",
10956,GIZEH Raucherbedarf GmbH,gizeh-raucherbedarf-gmbh,2,"GIZEH Raucherbedarf GmbH, Bunsenstraße 12, 51647 Gummersbach, Deutschland, Telefon: +49 2261 4059-0, E-Mail: info@gizeh-online.com",
8034,Granny's World GmbH,grannys-world-gmbh,9,"Granny's World GmbH, Sportweg 4, 29525 Uelzen, Deutschland, grannysworldug@gmail.com",
16201,Green House Powder Feeding,green-house-powder-feeding,6,"Green House Feeding, Keienbergweg 49, 1101 EX Amsterdam-Zuidoost, Niederlande, Telefon: +31 20 7163834, E-Mail: shop@greenhousefeeding.com, Web: https://www.greenhousefeeding.com",
8843,Green House Seed Co.,green-house-seed-co,5,"GHSC Trading B.V., Kabelweg 22, 1014 BB Amsterdam, Niederlande, Telefon: +31 20 3080918, Web: https://shop.greenhouseseeds.nl",
16331,Green Node GmbH,green-node-gmbh,1,"Green Node GmbH, Rheinstrasse 18, 35260 Stadtallendorf, Deutschland, Web: https://www.green-node.com",
16333,Green Planet Nutrients,green-planet-nutrients,13,"Green Planet, A Ave. 103, 15374 Surrey, Kanada, Web: https://greenplanetnutrients.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Deutschland, Web: https://www.bloomtech.de"
9022,GREEN WORKS GmbH,green-works-gmbh,2,"GREEN WORKS GmbH, Gneisenaustraße 27, 40474 Düsseldorf, Deutschland, Telefon: +49 172 7989900, E-Mail: info@bobby-green.com, Web: https://bobby-green.com",
16488,Grodan,grodan,4,"Grodan, Industrieweg 15, 6045 JG Roermond, Niederlande, Telefon: +31 475 353535, E-Mail: info@grodan.com, Web: https://www.grodan.com",
6578,Grounded Genetics,grounded-genetics,0,"Grounded Genetics (Uptown Supply Co SL), Rambla De Catalunya 38, P.8. PTA.1, 08007 Barcelona, Spanien, support@groundedgenetics.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16448,Grow In AG,grow-in-ag,9,"Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, Telefon: +49 30 208980-800, E-Mail: info@growin.de, Web: https://www.growin.de",
16503,Growers Glück,growers-glueck,3,"Growers Glück, Hubertusstraße 187, 47798 Krefeld, Deutschland, E-Mail: info@growersglueck.de, Homepage: https://www.growersglueck.de",
16335,GrowsArtig,growsartig,9,"GrowsArtig, Seuttergasse 53, A-2492 Eggendorf, Österreich, Web: https://www.growsartig.eu",
16461,GrowTechnology GmbH,growtechnology-gmbh,6,"GrowTechnology GmbH, Riedstraße 14, 79787 Lauchringen, Deutschland, Telefon: +49 7741 8358151, E-Mail: service@growtechnology.de, Web: https://www.growtechnology.de","GrowTechnology GmbH, Am Kanal 13/15, 79805 Eggingen, Baden-Württemberg, Deutschland, E-Mail: service@growtechnology.de, Homepage: https://growtechnology.de"
12717,Growth Technology,growth-technology,2,"Growth Technology Limited, Great Western Way, Taunton TA2 6BX, Vereinigtes Königreich, E-Mail: enquiries@growthtechnology.com, Web: https://growthtechnology.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, E-Mail: info@growin.de, Web: https://www.growin.de"
6655,Grüne Freude GmbH,gruene-freude-gmbh,1,"Grüne Freude GmbH, Hasenheide 78, 10967 Berlin, Deutschland, service@gruenefreude.com",
4143,"Hangzhou Alltest Biotech Co.,Ltd",hangzhou-alltest-biotech-co-ltd,0,"Hangzhou AllTest Biotech Co., Ltd, 550 Yinhai Street, Hangzhou Economic and Technologic Development Area, Hangzhou 310018, P.R. China, info@alltests.com.cn","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
14985,Hara Brands,hara-brands,378,"4031 N Pecos Rd, Suite 100, Las Vegas, NV, 89115, USA, Telefon: (631) 223-8901, E-Mail: info@harasupply.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
13990,HASHY,hashy,1,"MonkeysGodTorino, Via Gioacchino Rossini 12, 10124 Torino TO, Italien, P. IVA IT10275620010, E-Mail: info@hashyallinone.com, Web: https://www.hashyallinone.com",
1813,HBI Europe GmbH,hbi-europe-gmbh,26,"HBI Europe GmbH, Luxemburger Str. 19, 41812 Erkelenz, Deutschland, fragen@hbieu.com",
4222,Heatex Glass B.V,heatex-glass-b-v,11,"Heatex Glass B.V., Laan van Kronenburg 14, 1183 AS Amstelveen, Niederlande, sales@heatexglass.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16463,Heisenberg,heisenberg,4,"Heisenberg, Heerenholz 14a, 28307 Bremen, Bremen, Deutschland, E-Mail: support@hnbg.de, Homepage: https://www.hnbg.de",
12991,Hemnia s.r.o.,hemnia-s-r-o,1,"Hemnia s.r.o., Na Folimance 2155/15, 120 00 Praha 2 - Vinohrady, Tschechien, IČO 09306269, Telefon: +420774420732, E-Mail: support@hemnia.com",
10951,Hermann Hauser GmbH,hermann-hauser-gmbh,1,"Hermann Hauser GmbH, Josef-Schorer-Straße 9, 86179 Augsburg, Deutschland, HRB 7969 (Amtsgericht Augsburg), Telefon: +49 821 72019-0, E-Mail: info@hauser-augsburg.de",
16234,Hesi,hesi,57,"Hesi, Klarenanstelerweg 11, 6468 EP Kerkrade, Niederlande, Web: https://hesi.nl",
8349,Hesi Plantenvoeding B.V.,hesi-plantenvoeding-b-v,1,"Klarenanstelerweg 11, 6468 EP, Kerkrade, Niederlande, info@hesi.nl",
6540,HGA Garden B.V.,hga-garden-b-v,0,"HGA Garden B.V., Tijvoortsebaan 2, 5051 HJ Goirle, Niederlande, info@hgagarden.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16450,HGA International B.V.,hga-international-b-v,0,"HGA International B.V., Tijvoortsebaan 2, 5051 HJ Goirle, Niederlande, KvK 69505772, Telefon: +31 161 233920, E-Mail: info@hgagarden.com, Web: https://www.hgagarden.com",
11540,High4Life,high4life,7,"High4Life, Kevin Marquardt, Görlitzer Straße 2, 86899 Landsberg am Lech, Deutschland, Telefon: +491627000874, E-Mail: info@high4life.shop",
1348,"HIGHPRO NETWORK, S.L.",highpro-network-s-l,0,"HIGHPRO NETWORK, S.L., Calle General Perón 22, 28020 Madrid, Spanien, legal@gardenhighpro.com",
3730,hortione GmbH,hortione-gmbh,0,"hortiONE GmbH, Montafonerstraße 14, 6780 Schruns, Österreich, info@hortione.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16337,House & Garden,house-garden,4,"House & Garden, PO BOX 216, SA 5049 Seacliff Park, Australien, Web: https://www.house-garden.com.au","HPS, Rte de Lanrinou 3, 29800 Landerneau, Frankreich, Web: https://highproshop.fr"
16449,HPS,hps,0,"HPS, Route de Lanrinou 3, 29800 Landerneau, Frankreich, E-Mail: commande@highproshop.fr, Web: https://highproshop.fr",
12714,hubey GmbH,hubey-gmbh,2,"hubey GmbH, Holunderstraße 1A, 28816 Stuhr, Deutschland, E-Mail: mail@hubey.com, Web: https://hubey.com",
6662,Humboldt Seed Company,humboldt-seed-company,16,"Humboldt Seed Company, LLC, 510 O Street, Suite B, Eureka, CA 95501, USA, E-Mail: info@humboldtseedcompany.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16339,Humintech GmbH,humintech-gmbh,1,"Humintech GmbH, Am Pösenberg 9-13, 41517 Grevenbroich, Deutschland, Web: https://humintech.com",
16434,hy-pro,hy-pro,0,"Hy-Pro Fertilizers, Fabrieksweg 3G, 5531 PP Bladel, Niederlande, Web: https://hy-pro.nl",
16341,Hy-Pro Fertilizers,hy-pro-fertilizers,1,"Hy-Pro Fertilizers, Fabrieksweg 3G, 5531 PP Bladel, Niederlande, Web: https://hy-pro.nl",
16502,Hydro Garden,hydro-garden,0,"Hydro Garden, Lifford Way Unit19, CV3 2RN Coventry, Vereinigtes Königreich, Homepage: https://hydrogarden.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Niedersachsen, Deutschland, E-Mail: mail@bloomtech.de, Homepage: https://www.bloomtech.de"
16529,HydroGarden Limited,hydrogarden-limited,40,"HydroGarden Limited, Unit 19 Lifford Way, Binley Industrial Estate, CV3 2RN Coventry, Vereinigtes Königreich, E-Mail: webmaster@hydrogarden.co.uk","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, Homepage: https://www.growin.de/"
16343,Hydroponic Research,hydroponic-research,5,"Hydroponic Research, Alvarado Canyon Road 4570, CA 92120 San Diego, Vereinigte Staaten, Web: https://hydroponic-research.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Deutschland, E-Mail: mail@bloomtech.de, Web: https://www.bloomtech.de"
11525,IPP,ipp,4,"IPP, ul. Elektrownia 16, 41-923 Bytom, Polen, E-Mail: info@desch-ipp.pl",
16494,Jiffy,jiffy,1,"Jiffy, 5401 Baumhart Road, 44053 Lorain, Ohio, Vereinigte Staaten, E-Mail: prosales@jiffygroup.com, Homepage: https://www.jiffygroup.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, Homepage: https://www.growin.de/"
12872,Jiffy Products International B.V.,jiffy-products-international-b-v,1,"Jiffy Products International B.V., Lindtsedijk 20A, 3336 LE Zwijndrecht, Niederlande, E-Mail: sales@jiffygroup.com",
16515,jouyco-sweets-b-v,jouyco-sweets-b-v,0,"Jouy & Co Sweets B.V., Vredeweg 1 S, 1505 HH Zaandam, Niederlande, KvK 70736839, Telefon: +31 20 3377568, E-Mail: info@jouyco.com, Web: https://jouyco.nl",
8644,Kailar UG (haftungsbeschränkt),kailar-ug-haftungsbeschraenkt,12,"Kailar UG (haftungsbeschränkt), Viererblock 18a, 39326 Wolmirstedt, Deutschland, Telefon: +4915226743296, E-Mail: kontakt@kailar.de",
16508,Keirton Inc.,keirton-inc,53,"Keirton Inc., 9445 189th St., V4N 5L8 Surrey BC, Kanada, Telefon: +1 604 513 1796, Web: https://www.keirton.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, Homepage: https://www.growin.de/"
5310,Knistermann,knistermann,0,"Knistermann (Franco Braca Großhandel), Bahnstraße 76, 47929 Grefrath, Deutschland, info@knistermann.de",
6058,Kopp Filters GmbH & Co. KG,kopp-filters-gmbh-co-kg,1,"Kopp Filters GmbH & Co. KG, Löwenstraße 16, 63067 Offenbach am Main, Deutschland, info@kopp-filters.com",
5416,Lauwe Zaunreither GbR,lauwe-zaunreither-gbr,52,"Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92239 Beilngries, Deutschland, info@hanfjack.de",
6863,Liquid-Universum GmbH,liquid-universum-gmbh,0,"Liquid-Universum GmbH, Sudetenstraße 1, 73760 Ostfildern, Deutschland, hallo@freigeist.works",
6648,Litha,litha,0,"Sweedbar, Waldhausener Straße 86a, 41061 Mönchengladbach, Deutschland, info@sweedbar.de",
7733,Lovin In Her Eyes,lovin-in-her-eyes,2,,
3731,Lumatek Ltd,lumatek-ltd,0,"Lumatek Ltd, Suite 1 Christchurch House, Beaufort Court, Sir Thomas Longley Road, Rochester, Kent, ME2 4FX, United Kingdom, info@lumatek-lighting.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16492,MAMA Publishing,mama-publishing,1,"MAMA Publishing, Wenlock Road, London 20-22, N1 7GU UK London, Vereinigtes Königreich, E-Mail: info@mamapublisher.com, Homepage: https://mamapublisher.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Niedersachsen, Deutschland, E-Mail: mail@bloomtech.de, Homepage: https://www.bloomtech.de"
4218,Mars Confectionery Supply GmbH,mars-confectionery-supply-gmbh,0,"Mars Confectionery Supply GmbH, Industriering 17, 41751 Viersen-Dülken, Deutschland, info@mars.de",
14298,Master Garden Nutrients Limited,master-garden-nutrients-limited,33,"Unit 6 & 7 Demuth Way, Junction 2 Industrial Estate, Oldbury, United Kingdom, B69 4LT, info@mgnutrients.co.uk, https://atami.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, Tel.: +49 30 208980-800, Fax: +49 30 208980-819, E-Mail: info@growin.de"
16510,Master Products Inoxidable S.L.,master-products-inoxidable-s-l,22,"Master Products Inoxidable S.L., Pol. Ind. Veïnat de la Banyeta Nova 10, 17843 Palol de Revardit (Girona), Spanien, Telefon: +34 972 299355, E-Mail: info@masterproducts.es, Web: https://masterproducts.es",
5830,Meditrade GmbH,meditrade-gmbh,3,"Meditrade GmbH, Medipark 1, 83088 Kiefersfelden, Deutschland, info@meditrade.de",
4571,Medusafilters GmbH,medusafilters-gmbh,14,"Medusafilters GmbH, Schillerstraße 46, 74248 Ellhofen, Deutschland, info@medusafilters.de",
16275,Mills Nutrients,mills-nutrients,24,"Mills Nutrients, Aalsmeerderweg 249-K, 1432 CM Aalsmeer, Niederlande, Telefon: +31 20 2233957, E-Mail: info@mills-nutrients.com, Web: https://mills-nutrients.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, Web: https://growin.de"
